Set,Day,OrderDay,OrderAll,Group,Individual,Date,Mobility,Explored_Surface,PrD_voca,PrD_foraging,Att_Emitted,Att_Suffered,DistDoor,NumPas,OrderEntrance,OrderEntrance4,LeaderEntrance,LeaderFC,OrderEnd,OrderEnd4,LeaderEnd,SamLead,Correct,Side,Info,Mot,MajMin
1,1,1,1,bc,2,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,1,1,1,bc,3,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,1,2,2,ae,1,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,1,2,2,ae,5,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,1,3,3,hi,8,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,1,3,3,hi,9,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,1,4,4,gj,7,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,1,4,4,gj,10,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,1,5,5,bd,2,15/07/2013,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,0,2,NA,0,1,NA,NA,1,NA,NA
1,1,5,5,bd,4,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,1,1,NA,1,1,NA,NA,1,NA,NA
1,1,6,6,fi,6,15/07/2013,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,1,6,6,fi,9,15/07/2013,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,2,1,7,gj,7,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,2,1,7,gj,10,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,2,2,8,cd,3,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,2,2,8,cd,4,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,2,3,9,fh,6,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,0,1,NA,1,0,NA,NA,1,NA,NA
1,2,3,9,fh,8,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,1,2,NA,0,0,NA,NA,1,NA,NA
1,2,4,10,ae,1,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,2,4,10,ae,5,16/07/2013,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,3,1,11,cd,3,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,0,2,NA,0,1,NA,NA,1,NA,NA
1,3,1,11,cd,4,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,2,NA,0,1,1,NA,1,1,NA,NA,1,NA,NA
1,3,2,12,gj,7,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,3,2,12,gj,10,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,3,3,13,ae,1,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,0,2,NA,0,1,NA,NA,1,NA,NA
1,3,3,13,ae,5,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,2,NA,0,1,1,NA,1,1,NA,NA,1,NA,NA
1,3,4,14,fi,6,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,0,2,NA,0,1,NA,NA,1,NA,NA
1,3,4,14,fi,9,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,2,NA,0,1,1,NA,1,1,NA,NA,1,NA,NA
1,3,5,15,fh,6,17/07/2013,NA,NA,NA,NA,NA,NA,NA,4,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,3,5,15,fh,8,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,3,6,16,bd,2,17/07/2013,NA,NA,NA,NA,NA,NA,NA,3,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,3,6,16,bd,4,17/07/2013,NA,NA,NA,NA,NA,NA,NA,4,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,4,1,17,ae,1,18/07/2013,NA,NA,NA,NA,NA,NA,NA,4,1,NA,1,0,1,NA,1,0,NA,NA,1,NA,NA
1,4,1,17,ae,5,18/07/2013,NA,NA,NA,NA,NA,NA,NA,4,2,NA,0,1,2,NA,0,0,NA,NA,1,NA,NA
1,4,2,18,bc,2,18/07/2013,NA,NA,NA,NA,NA,NA,NA,4,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
1,4,2,18,bc,3,18/07/2013,NA,NA,NA,NA,NA,NA,NA,4,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,4,3,19,gj,7,18/07/2013,NA,NA,NA,NA,NA,NA,NA,4,1,NA,1,1,1,NA,1,1,NA,NA,1,NA,NA
1,4,3,19,gj,10,18/07/2013,NA,NA,NA,NA,NA,NA,NA,4,2,NA,0,0,2,NA,0,1,NA,NA,1,NA,NA
